text;action;domain;
Gleaning collects surplus crops from fields after harvest to reduce food waste.;Gleaning;Land and Nature Stewardship;
Communities organize gleaning groups to distribute surplus produce to those in need.;Gleaning;Land and Nature Stewardship;
Gleaning initiatives connect farmers with food banks to minimize losses.;Gleaning;Land and Nature Stewardship;
Training programs teach best practices for efficient and safe gleaning.;Gleaning;Land and Nature Stewardship;
Gleaning reduces agricultural waste while enhancing local food security.;Gleaning;Land and Nature Stewardship;
Partnerships with NGOs expand the reach of gleaning programs in underserved areas.;Gleaning;Land and Nature Stewardship;
Governments support gleaning efforts to combat hunger and promote sustainability.;Gleaning;Land and Nature Stewardship;
Technology platforms connect volunteers to gleaning opportunities on farms.;Gleaning;Land and Nature Stewardship;
Gleaning programs highlight the importance of reducing post-harvest losses.;Gleaning;Land and Nature Stewardship;
Collaboration between farmers and communities strengthens gleaning networks.;Gleaning;Land and Nature Stewardship;
Gleaning collects leftover crops from fields to reduce food waste and support food security.;Gleaning;Land and Nature Stewardship;
Communities organize gleaning initiatives to distribute surplus food to those in need.;Gleaning;Land and Nature Stewardship;
Farmers collaborate with gleaning groups to repurpose excess produce after harvest.;Gleaning;Land and Nature Stewardship;
Gleaning programs highlight the importance of minimizing post-harvest losses.;Gleaning;Land and Nature Stewardship;
Training workshops teach participants how to safely and efficiently glean crops.;Gleaning;Land and Nature Stewardship;
Gleaning initiatives support food banks and community kitchens with fresh produce.;Gleaning;Land and Nature Stewardship;
Governments support gleaning programs to address food insecurity in vulnerable populations.;Gleaning;Land and Nature Stewardship;
Research demonstrates the environmental and social benefits of organized gleaning efforts.;Gleaning;Land and Nature Stewardship;
Gleaning projects connect urban volunteers with rural farming communities.;Gleaning;Land and Nature Stewardship;
Digital platforms facilitate the coordination of gleaning activities across regions.;Gleaning;Land and Nature Stewardship;
 Use of the electric grid as a “battery” for localised power generation.;Grid-tied Renewable Power Generation;Tools and Technology;
Grid-tied renewable power generation;Grid-tied Renewable Power Generation;Tools and Technology;
Grid-tied renewable power systems allow households to sell excess energy back to the grid.;Grid-tied Renewable Power Generation;Tools and Technology;
Solar panels connected to the grid reduce dependency on fossil fuel power plants.;Grid-tied Renewable Power Generation;Tools and Technology;
Communities invest in grid-tied systems to promote local renewable energy use.;Grid-tied Renewable Power Generation;Tools and Technology;
Governments incentivize grid-tied solar and wind installations for clean energy expansion.;Grid-tied Renewable Power Generation;Tools and Technology;
Grid-tied systems improve energy security by integrating decentralized sources.;Grid-tied Renewable Power Generation;Tools and Technology;
Training programs educate homeowners on the benefits of grid-tied renewable systems.;Grid-tied Renewable Power Generation;Tools and Technology;
Smart meters optimize the use and distribution of grid-tied renewable energy.;Grid-tied Renewable Power Generation;Tools and Technology;
Grid-tied renewable systems support grid stability during peak demand.;Grid-tied Renewable Power Generation;Tools and Technology;
Research advances in battery technology enhance the effectiveness of grid-tied renewables.;Grid-tied Renewable Power Generation;Tools and Technology;
Communities adopt cooperative grid-tied renewable systems for shared energy benefits.;Grid-tied Renewable Power Generation;Tools and Technology;
 Recovery and maintenance of traditional tools and skills.;Hand Tools;Tools and Technology;
Hand tools;Hand Tools;Tools and Technology;
Hand tools reduce energy consumption by eliminating the need for power-operated machinery.;Hand Tools;Tools and Technology;
Communities prioritize the use of hand tools for sustainable farming practices.;Hand Tools;Tools and Technology;
Hand tools are affordable and accessible for small-scale farming and gardening.;Hand Tools;Tools and Technology;
Training workshops teach the effective use and maintenance of hand tools.;Hand Tools;Tools and Technology;
Artisans rely on hand tools for traditional and eco-friendly craftsmanship.;Hand Tools;Tools and Technology;
Hand tools improve precision in activities like pruning, planting, and carpentry.;Hand Tools;Tools and Technology;
Governments promote hand tools as part of low-impact rural development programs.;Hand Tools;Tools and Technology;
Hand tools integrate well with permaculture and sustainable living principles.;Hand Tools;Tools and Technology;
Community tool-sharing programs ensure equitable access to hand tools.;Hand Tools;Tools and Technology;
Hand tools are durable and require minimal resource inputs compared to mechanized equipment.;Hand Tools;Tools and Technology;
 Reclaiming birth and infant nutrition as part of the economy of nature and the household.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Home birth & breast feeding;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Home birth promotes a natural and personalized birthing experience.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Breastfeeding provides essential nutrients and strengthens the bond between mother and baby.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Midwives support safe home births by providing expert care and guidance.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Communities host workshops to educate about the benefits of home birth and breastfeeding.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Governments provide resources for safe and informed home birth options.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Breastfeeding is encouraged for its health benefits to both mother and child.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Home birth reduces stress by allowing families to remain in familiar surroundings.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Online forums connect parents sharing experiences about home birth and breastfeeding.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Breastfeeding campaigns promote awareness about its role in early childhood development.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Home birth practices integrate cultural traditions and modern health care.;Home Birth & Breast Feeding;Health and Spiritual Well-Being;
Parents as natural teachers of children within the household economy.;Home Schooling;Education and Culture;
Home Schooling;Home Schooling;Education and Culture;
Home schooling allows parents to tailor education to the individual needs of their children.;Home Schooling;Education and Culture;
Families adopt home schooling to create a flexible learning environment.;Home Schooling;Education and Culture;
Home schooling integrates experiential learning through real-world activities.;Home Schooling;Education and Culture;
Online resources and communities support parents in home schooling endeavors.;Home Schooling;Education and Culture;
Home schooling emphasizes student-led learning and creative exploration.;Home Schooling;Education and Culture;
Families collaborate with local groups for social and extracurricular activities.;Home Schooling;Education and Culture;
Home schooling programs focus on instilling core values alongside academic subjects.;Home Schooling;Education and Culture;
Governments provide guidelines for home schooling to ensure quality education.;Home Schooling;Education and Culture;
Home schooling fosters closer family bonds through shared learning experiences.;Home Schooling;Education and Culture;
Home schooling adapts to students’ learning paces and unique interests.;Home Schooling;Education and Culture;
Aquatic systems that provide most of the food for harvested fish and/or other animals.;Integrated Aquaculture;Land and Nature Stewardship;
Integrated aquaculture;Integrated Aquaculture;Land and Nature Stewardship;
Integrated aquaculture combines fish farming with agriculture for efficient resource use.;Integrated Aquaculture;Land and Nature Stewardship;
Farmers use integrated aquaculture to recycle nutrients between fish and crops.;Integrated Aquaculture;Land and Nature Stewardship;
Integrated aquaculture reduces dependency on chemical fertilizers in farming.;Integrated Aquaculture;Land and Nature Stewardship;
Communities adopt aquaponics systems to produce food sustainably.;Integrated Aquaculture;Land and Nature Stewardship;
Training programs teach farmers techniques for managing integrated aquaculture systems.;Integrated Aquaculture;Land and Nature Stewardship;
Integrated aquaculture systems increase resilience to water scarcity.;Integrated Aquaculture;Land and Nature Stewardship;
Governments support integrated aquaculture to enhance food security in vulnerable regions.;Integrated Aquaculture;Land and Nature Stewardship;
Fish farming in integrated systems provides an additional income source for rural communities.;Integrated Aquaculture;Land and Nature Stewardship;
Integrated aquaculture systems minimize environmental impact through efficient water use.;Integrated Aquaculture;Land and Nature Stewardship;
Research advances in integrated aquaculture optimize production and sustainability.;Integrated Aquaculture;Land and Nature Stewardship;
Integrated aquaculture combines fish farming with agriculture to create closed-loop systems.;Integrated Aquaculture;Land and Nature Stewardship;
Communities adopt integrated aquaculture to enhance food security and resource efficiency.;Integrated Aquaculture;Land and Nature Stewardship;
Farmers use aquaponics systems to grow vegetables and raise fish simultaneously.;Integrated Aquaculture;Land and Nature Stewardship;
Integrated aquaculture reduces waste by recycling nutrients within the system.;Integrated Aquaculture;Land and Nature Stewardship;
Training programs teach sustainable practices for managing integrated aquaculture systems.;Integrated Aquaculture;Land and Nature Stewardship;
Governments support integrated aquaculture projects to improve rural livelihoods.;Integrated Aquaculture;Land and Nature Stewardship;
Research highlights the role of integrated aquaculture in reducing the environmental footprint of farming.;Integrated Aquaculture;Land and Nature Stewardship;
Integrated aquaculture systems conserve water and minimize chemical inputs.;Integrated Aquaculture;Land and Nature Stewardship;
Communities use integrated aquaculture to diversify income streams in coastal and rural areas.;Integrated Aquaculture;Land and Nature Stewardship;
Partnerships between farmers and NGOs promote integrated aquaculture practices globally.;Integrated Aquaculture;Land and Nature Stewardship;
A system of landscape analysis, water harvesting and soil development using dams, channels and soil condition ploughing, developed by P.A.Yeomans.;Keyline Water Harvesting;Land and Nature Stewardship;
Keyline water harvesting;Keyline Water Harvesting;Land and Nature Stewardship;
Keyline water harvesting systems enhance water retention in arid areas.;Keyline Water Harvesting;Land and Nature Stewardship;
Farmers use keyline design to optimize water distribution across landscapes.;Keyline Water Harvesting;Land and Nature Stewardship;
Keyline water harvesting prevents soil erosion by redirecting runoff.;Keyline Water Harvesting;Land and Nature Stewardship;
Communities adopt keyline systems to enhance agricultural productivity in drylands.;Keyline Water Harvesting;Land and Nature Stewardship;
Training programs teach farmers to implement keyline principles effectively.;Keyline Water Harvesting;Land and Nature Stewardship;
Keyline water harvesting integrates with agroforestry systems for added resilience.;Keyline Water Harvesting;Land and Nature Stewardship;
Farmers use contour plowing in keyline systems to maximize water infiltration.;Keyline Water Harvesting;Land and Nature Stewardship;
Governments fund keyline projects to address water scarcity challenges.;Keyline Water Harvesting;Land and Nature Stewardship;
Keyline systems reduce the need for irrigation by enhancing natural water cycles.;Keyline Water Harvesting;Land and Nature Stewardship;
Local water management programs incorporate keyline designs to conserve resources.;Keyline Water Harvesting;Land and Nature Stewardship;
Keyline water harvesting optimizes water distribution by following the natural contours of the land.;Keyline Water Harvesting;Land and Nature Stewardship;
Farmers use keyline plowing to increase water infiltration and reduce runoff.;Keyline Water Harvesting;Land and Nature Stewardship;
Communities adopt keyline water harvesting to improve drought resilience.;Keyline Water Harvesting;Land and Nature Stewardship;
Training programs teach keyline design principles for sustainable water management.;Keyline Water Harvesting;Land and Nature Stewardship;
Keyline systems integrate agroforestry to enhance both water and soil conservation.;Keyline Water Harvesting;Land and Nature Stewardship;
Governments fund keyline projects to address water scarcity in arid regions.;Keyline Water Harvesting;Land and Nature Stewardship;
Keyline water harvesting reduces soil erosion and improves agricultural productivity.;Keyline Water Harvesting;Land and Nature Stewardship;
Farmers use keyline techniques to maximize the efficiency of rainfall capture.;Keyline Water Harvesting;Land and Nature Stewardship;
Research highlights the role of keyline water harvesting in improving ecosystem services.;Keyline Water Harvesting;Land and Nature Stewardship;
Communities organize workshops to share knowledge on implementing keyline systems.;Keyline Water Harvesting;Land and Nature Stewardship;
 Wholistic methods for measuring the full costs and benefits of existing and new technologies and economies.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Life cycle analysis & ’emergy’ accounting;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Life cycle analysis evaluates the environmental impact of products from creation to disposal.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Emergy accounting measures the energy invested in creating and maintaining systems.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Businesses use life cycle analysis to design eco-friendly and sustainable products.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Communities adopt life cycle analysis to inform purchasing and consumption choices.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Governments require life cycle analysis for infrastructure projects to minimize environmental harm.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Training programs teach life cycle analysis techniques to assess product sustainability.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Life cycle analysis informs recycling programs by identifying material recovery potential.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Businesses integrate emergy accounting to optimize resource efficiency.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Universities offer courses on life cycle analysis to train sustainability professionals.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
Life cycle analysis supports decision-making in sustainable urban planning and design.;Life Cycle Analysis & ’Emergy’ Accounting;Finances and Economics;
 Interest-free money systems that serve a defined and limited territory.;Local & Regional Currencies;Finances and Economics;
Local & regional currencies;Local & Regional Currencies;Finances and Economics;
Local and regional currencies encourage spending within local communities.;Local & Regional Currencies;Finances and Economics;
Communities adopt local currencies to boost small businesses and reduce economic leakage.;Local & Regional Currencies;Finances and Economics;
Regional currencies promote economic resilience during financial crises.;Local & Regional Currencies;Finances and Economics;
Governments collaborate with communities to implement regional currency systems.;Local & Regional Currencies;Finances and Economics;
Local currencies support ethical trade and sustainable development goals.;Local & Regional Currencies;Finances and Economics;
Training programs teach the benefits and use of local and regional currencies.;Local & Regional Currencies;Finances and Economics;
Businesses accept local currencies to encourage community loyalty and engagement.;Local & Regional Currencies;Finances and Economics;
Regional currencies reduce the environmental impact of long-distance trade.;Local & Regional Currencies;Finances and Economics;
Local currency initiatives integrate with time-banking systems for skill exchange.;Local & Regional Currencies;Finances and Economics;
Research highlights the role of regional currencies in fostering economic inclusion and sustainability.;Local & Regional Currencies;Finances and Economics;
 Simple renewable technologies for remote and local grid power.;Micro-hydro & Small Scale Wind;Tools and Technology;
Micro-hydro & small scale wind;Micro-hydro & Small Scale Wind;Tools and Technology;
Micro-hydro systems provide renewable energy by harnessing the power of small streams.;Micro-hydro & Small Scale Wind;Tools and Technology;
Small-scale wind turbines generate power for off-grid households and businesses.;Micro-hydro & Small Scale Wind;Tools and Technology;
Communities adopt micro-hydro projects to electrify rural areas sustainably.;Micro-hydro & Small Scale Wind;Tools and Technology;
Training programs teach communities how to design and maintain small-scale energy systems.;Micro-hydro & Small Scale Wind;Tools and Technology;
Governments fund micro-hydro installations to promote decentralized energy production.;Micro-hydro & Small Scale Wind;Tools and Technology;
Small-scale wind turbines integrate with solar panels for hybrid renewable energy systems.;Micro-hydro & Small Scale Wind;Tools and Technology;
Micro-hydro projects improve water resource management in hilly terrains.;Micro-hydro & Small Scale Wind;Tools and Technology;
Small wind turbines are used in urban areas to complement grid-tied systems.;Micro-hydro & Small Scale Wind;Tools and Technology;
Research focuses on making small-scale energy systems more cost-effective and reliable.;Micro-hydro & Small Scale Wind;Tools and Technology;
Communities collaborate on micro-hydro and wind projects to share benefits equitably.;Micro-hydro & Small Scale Wind;Tools and Technology;
 Traditional ways of non-exclusive use of land and resources, recognised in law.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Native Title & traditional use rights;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Native Title recognizes the traditional rights of Indigenous peoples over their ancestral lands.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Governments implement Native Title policies to protect cultural and environmental heritage.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Communities collaborate to secure Native Title agreements for sustainable land management.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Traditional use rights support Indigenous practices like hunting, fishing, and gathering.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Native Title claims help preserve sacred sites and cultural landscapes.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Training programs educate communities about their rights under Native Title legislation.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Governments work with Indigenous leaders to integrate traditional knowledge into conservation plans.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Native Title promotes economic empowerment through resource management agreements.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
Research highlights the role of Native Title in fostering biodiversity conservation.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
International collaborations support Indigenous claims to protect traditional use rights globally.;Native Title & Traditional Use Rights;Land Tenure and Community Governance;
 Earth, strawbale, lime plaster, round pole, stone.;Natural Construction Materials;Building;
Natural construction materials;Natural Construction Materials;Building;
Natural construction materials include adobe, bamboo, and stone to reduce environmental impact.;Natural Construction Materials;Building;
Communities use locally sourced materials for sustainable and cost-effective construction.;Natural Construction Materials;Building;
Training programs promote the use of natural materials in eco-friendly building practices.;Natural Construction Materials;Building;
Natural materials improve indoor air quality by reducing toxic emissions.;Natural Construction Materials;Building;
Governments support projects that prioritize the use of natural construction materials.;Natural Construction Materials;Building;
Bamboo structures provide flexibility and strength for resilient construction.;Natural Construction Materials;Building;
Stone and adobe buildings enhance thermal regulation and energy efficiency.;Natural Construction Materials;Building;
Natural materials integrate well with traditional and modern construction techniques.;Natural Construction Materials;Building;
Natural construction materials reduce the carbon footprint of building projects.;Natural Construction Materials;Building;
Communities engage in workshops to learn about the benefits of natural materials.;Natural Construction Materials;Building;
Natural construction materials like adobe, straw, and bamboo minimize environmental impact.;Natural Construction Materials;Building;
Communities use locally sourced natural materials to build affordable, sustainable homes.;Natural Construction Materials;Building;
Training programs teach sustainable building techniques using natural materials.;Natural Construction Materials;Building;
Natural construction materials improve indoor air quality and reduce toxic emissions.;Natural Construction Materials;Building;
Governments support projects that prioritize the use of natural construction materials.;Natural Construction Materials;Building;
Bamboo is widely used for its flexibility, strength, and rapid renewability in construction.;Natural Construction Materials;Building;
Stone walls provide thermal mass, enhancing energy efficiency in natural construction.;Natural Construction Materials;Building;
Natural materials integrate well with traditional and modern architectural designs.;Natural Construction Materials;Building;
Research highlights the cost-effectiveness and sustainability of natural construction.;Natural Construction Materials;Building;
Communities organize workshops to promote the benefits of natural building materials.;Natural Construction Materials;Building;
 Bushfire, wind, flood & earthquake.;Natural Disaster Resistant Construction;Building;
Natural disaster resistant construction;Natural Disaster Resistant Construction;Building;
Natural disaster-resistant construction incorporates reinforced materials to withstand extreme events.;Natural Disaster Resistant Construction;Building;
Buildings are designed with elevated foundations to prevent flood damage.;Natural Disaster Resistant Construction;Building;
Disaster-resistant construction uses flexible materials to absorb seismic energy.;Natural Disaster Resistant Construction;Building;
Training programs promote building codes for disaster-resilient structures.;Natural Disaster Resistant Construction;Building;
Communities invest in disaster-resistant construction to enhance local resilience.;Natural Disaster Resistant Construction;Building;
Governments implement regulations to ensure disaster-resistant building practices.;Natural Disaster Resistant Construction;Building;
Retrofitting old buildings with disaster-resistant technologies reduces vulnerability.;Natural Disaster Resistant Construction;Building;
Innovations in materials like impact-resistant glass support disaster-resistant designs.;Natural Disaster Resistant Construction;Building;
Disaster-resistant construction integrates green roofs to mitigate urban heat.;Natural Disaster Resistant Construction;Building;
Partnerships with NGOs promote awareness of disaster-resistant construction in vulnerable areas.;Natural Disaster Resistant Construction;Building;
Natural disaster-resistant construction uses reinforced materials and designs to withstand extreme events.;Natural Disaster Resistant Construction;Building;
Elevated foundations protect buildings from flood damage in disaster-prone areas.;Natural Disaster Resistant Construction;Building;
Disaster-resistant construction includes impact-resistant materials for hurricanes and earthquakes.;Natural Disaster Resistant Construction;Building;
Communities adopt disaster-resistant construction techniques to enhance resilience.;Natural Disaster Resistant Construction;Building;
Governments enforce building codes that prioritize disaster-resistant construction.;Natural Disaster Resistant Construction;Building;
Training programs teach engineers and builders how to implement disaster-resistant designs.;Natural Disaster Resistant Construction;Building;
Retrofitting old buildings with disaster-resistant features reduces vulnerability to natural hazards.;Natural Disaster Resistant Construction;Building;
Research highlights the cost-effectiveness of disaster-resistant construction in reducing recovery costs.;Natural Disaster Resistant Construction;Building;
Communities host awareness campaigns about the importance of disaster-resistant construction.;Natural Disaster Resistant Construction;Building;
Innovations in construction materials improve the durability and affordability of disaster-resistant housing.;Natural Disaster Resistant Construction;Building;
A Japanese system of organic agriculture involving minimal or no use of tillage and animal manures, most notably associated with Masanobu Fukuoka;Natural Farming;Land and Nature Stewardship;
Natural farming;Natural Farming;Land and Nature Stewardship;
Natural farming avoids chemical inputs, focusing on soil regeneration and biodiversity.;Natural Farming;Land and Nature Stewardship;
Farmers use cover crops and green manure to restore soil health in natural farming.;Natural Farming;Land and Nature Stewardship;
Natural farming methods reduce water usage through mulching and no-till practices.;Natural Farming;Land and Nature Stewardship;
Traditional knowledge informs the principles of natural farming.;Natural Farming;Land and Nature Stewardship;
Communities adopt natural farming to combat soil erosion and desertification.;Natural Farming;Land and Nature Stewardship;
Training programs introduce farmers to the principles of natural farming.;Natural Farming;Land and Nature Stewardship;
Natural farming promotes local food systems and reduces dependency on external inputs.;Natural Farming;Land and Nature Stewardship;
Crops grown in natural farming systems exhibit resilience to pests and diseases.;Natural Farming;Land and Nature Stewardship;
Natural farming integrates agroforestry to enhance ecosystem services.;Natural Farming;Land and Nature Stewardship;
Government support for natural farming promotes sustainable rural livelihoods.;Natural Farming;Land and Nature Stewardship;
Natural farming avoids chemical inputs, focusing on building soil fertility and ecosystem health.;Natural Farming;Land and Nature Stewardship;
Farmers use green manure and cover crops to restore soil in natural farming systems.;Natural Farming;Land and Nature Stewardship;
Natural farming methods reduce water usage through no-till practices and mulching.;Natural Farming;Land and Nature Stewardship;
Communities adopt natural farming to promote self-reliance and food sovereignty.;Natural Farming;Land and Nature Stewardship;
Training programs introduce farmers to traditional and innovative natural farming techniques.;Natural Farming;Land and Nature Stewardship;
Governments fund natural farming initiatives to combat soil erosion and desertification.;Natural Farming;Land and Nature Stewardship;
Natural farming supports agroforestry practices to diversify farm income and resources.;Natural Farming;Land and Nature Stewardship;
Farmers report increased yields and resilience to pests in natural farming systems.;Natural Farming;Land and Nature Stewardship;
Natural farming integrates composting to recycle nutrients and reduce waste.;Natural Farming;Land and Nature Stewardship;
Research demonstrates the economic and ecological benefits of natural farming.;Natural Farming;Land and Nature Stewardship;
A system of gabions, revegetation, and swales, to restore health and productivity of floodplains, developed by Peter Andrews;Natural Sequence Farming;Land and Nature Stewardship;
Natural sequence farming;Natural Sequence Farming;Land and Nature Stewardship;
Natural sequence farming restores degraded landscapes by mimicking natural water flows.;Natural Sequence Farming;Land and Nature Stewardship;
Farmers use contour plowing and vegetation barriers in natural sequence farming systems.;Natural Sequence Farming;Land and Nature Stewardship;
Communities adopt natural sequence farming to improve water infiltration and reduce runoff.;Natural Sequence Farming;Land and Nature Stewardship;
Natural sequence farming supports wetland restoration and ecosystem recovery.;Natural Sequence Farming;Land and Nature Stewardship;
Training programs introduce farmers to the principles of natural sequence farming.;Natural Sequence Farming;Land and Nature Stewardship;
Natural sequence farming integrates livestock to support nutrient cycling.;Natural Sequence Farming;Land and Nature Stewardship;
Governments fund natural sequence farming projects to combat land degradation.;Natural Sequence Farming;Land and Nature Stewardship;
Farmers use native plants in natural sequence farming systems to promote biodiversity.;Natural Sequence Farming;Land and Nature Stewardship;
Natural sequence farming reduces the impact of droughts through improved water management.;Natural Sequence Farming;Land and Nature Stewardship;
Community-based projects promote natural sequence farming as a solution for resilience.;Natural Sequence Farming;Land and Nature Stewardship;
Natural sequence farming restores degraded landscapes by mimicking natural water cycles.;Natural Sequence Farming;Land and Nature Stewardship;
Farmers use natural sequence farming techniques to enhance water retention and reduce erosion.;Natural Sequence Farming;Land and Nature Stewardship;
Training programs teach communities how to implement natural sequence farming methods.;Natural Sequence Farming;Land and Nature Stewardship;
Natural sequence farming integrates native plants to promote ecosystem restoration.;Natural Sequence Farming;Land and Nature Stewardship;
Communities adopt natural sequence farming to improve agricultural resilience.;Natural Sequence Farming;Land and Nature Stewardship;
Governments fund natural sequence farming projects to address soil and water degradation.;Natural Sequence Farming;Land and Nature Stewardship;
Research highlights the role of natural sequence farming in combating desertification.;Natural Sequence Farming;Land and Nature Stewardship;
Natural sequence farming increases biodiversity by restoring wetland habitats.;Natural Sequence Farming;Land and Nature Stewardship;
Farmers use contour plowing and swales to direct and store water in natural sequence systems.;Natural Sequence Farming;Land and Nature Stewardship;
Community projects incorporate natural sequence farming to create sustainable livelihoods.;Natural Sequence Farming;Land and Nature Stewardship;
Sustainable forestry that uses mixed species, long rotations, minimal impact harvesting and natural regeneration in wild and planted timber forests;Nature-Based Forestry;Land and Nature Stewardship;
Nature-based forestry;Nature-Based Forestry;Land and Nature Stewardship;
Nature-based forestry focuses on sustainable timber production and biodiversity conservation.;Nature-Based Forestry;Land and Nature Stewardship;
Communities manage forests for multiple uses, including recreation and wildlife habitats.;Nature-Based Forestry;Land and Nature Stewardship;
Nature-based forestry integrates selective logging to minimize ecological impacts.;Nature-Based Forestry;Land and Nature Stewardship;
Reforestation projects use native species as part of nature-based forestry efforts.;Nature-Based Forestry;Land and Nature Stewardship;
Forest management plans prioritize long-term sustainability in nature-based systems.;Nature-Based Forestry;Land and Nature Stewardship;
Training programs teach sustainable forestry practices to local communities.;Nature-Based Forestry;Land and Nature Stewardship;
Governments fund nature-based forestry to enhance carbon sequestration goals.;Nature-Based Forestry;Land and Nature Stewardship;
Certification programs support the trade of sustainably harvested forest products.;Nature-Based Forestry;Land and Nature Stewardship;
Communities benefit from eco-tourism initiatives within nature-based forestry projects.;Nature-Based Forestry;Land and Nature Stewardship;
Nature-based forestry contributes to climate adaptation by protecting watersheds.;Nature-Based Forestry;Land and Nature Stewardship;
Nature-based forestry emphasizes sustainable forest management that enhances biodiversity.;Nature-Based Forestry;Land and Nature Stewardship;
Communities adopt nature-based forestry to balance timber production with conservation.;Nature-Based Forestry;Land and Nature Stewardship;
Training programs teach sustainable harvesting techniques in nature-based forestry.;Nature-Based Forestry;Land and Nature Stewardship;
Governments support nature-based forestry projects to restore degraded forests.;Nature-Based Forestry;Land and Nature Stewardship;
Nature-based forestry integrates selective logging to minimize environmental impact.;Nature-Based Forestry;Land and Nature Stewardship;
Certification programs ensure that nature-based forestry products meet sustainability standards.;Nature-Based Forestry;Land and Nature Stewardship;
Research highlights the role of nature-based forestry in climate adaptation and mitigation.;Nature-Based Forestry;Land and Nature Stewardship;
Nature-based forestry includes agroforestry practices to diversify forest use.;Nature-Based Forestry;Land and Nature Stewardship;
Communities manage forest resources collaboratively under nature-based forestry frameworks.;Nature-Based Forestry;Land and Nature Stewardship;
Nature-based forestry supports eco-tourism and recreation while protecting ecosystems.;Nature-Based Forestry;Land and Nature Stewardship;
 Collaborative tools for sharing knowledge and reaching decisions.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Open Space Technology & Consensus Decision Making;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Open Space Technology facilitates inclusive discussions for problem-solving and innovation.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Communities use consensus decision-making to ensure equitable participation in planning processes.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Open Space events create collaborative environments for generating creative solutions.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Consensus decision-making builds trust and mutual understanding among stakeholders.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Training programs teach the principles and practices of consensus-based governance.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Open Space Technology encourages participants to set their own agendas for dialogue.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Governments adopt consensus decision-making models for community development projects.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Workshops on Open Space Technology empower groups to address complex issues collectively.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Research highlights the effectiveness of consensus methods in fostering social cohesion.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Consensus decision-making integrates diverse perspectives for more sustainable outcomes.;Open Space Technology & Consensus Decision Making;Land Tenure and Community Governance;
Commercial agriculture that uses natural fertilisers and pest control methods.;Organic Agriculture;Land and Nature Stewardship;
Organic agriculture;Organic Agriculture;Land and Nature Stewardship;
Organic agriculture avoids synthetic chemicals, focusing on natural pest control and soil health.;Organic Agriculture;Land and Nature Stewardship;
Farmers use compost and crop rotation to enhance soil fertility in organic systems.;Organic Agriculture;Land and Nature Stewardship;
Organic farming prioritizes biodiversity and ecosystem health.;Organic Agriculture;Land and Nature Stewardship;
Certification programs support organic farmers in accessing premium markets.;Organic Agriculture;Land and Nature Stewardship;
Organic agriculture integrates livestock to create nutrient cycles within farms.;Organic Agriculture;Land and Nature Stewardship;
